requisito,tipo_acceso,descripcion_corta,historia_usuario,caso_uso,endpoint_o_componente,archivo_implementacion,prueba_automatizada,evidencia_empirica,estado,observaciones
RF-01,CRUD-ORM,Registro de usuarios por administrador,HU-06,CU-03,POST /api/auth/registro,backend/src/main/java/org/uteq/backend/seguridad/auth/controller/AuthController.java,AuthServiceTest.registrarExitosoCreaPersonaYUsuario / AuthServiceTest.registrarConCorreoDuplicadoDevuelveVacio,docs/mediciones/sec/a01-acceso-roto.txt,Implementado,
RF-02,CRUD-ORM,Autenticacion con JWT en cookie HttpOnly,HU-01,CU-01,POST /api/auth/login,backend/src/main/java/org/uteq/backend/seguridad/auth/controller/AuthController.java,AuthServiceTest.loginConCredencialesCorrectasDevuelveTokensYSesion / AuthServiceTest.loginConContrasenaIncorrectaLanzaBadCredentialsYRegistraFallo,docs/mediciones/sec/a02-tls.txt,Implementado,
RF-03,CRUD-ORM,Cierre de sesion con revocacion por JTI,HU-03,CU-02,POST /api/auth/logout,backend/src/main/java/org/uteq/backend/seguridad/auth/security/RedisBlacklistService.java,RedisBlacklistServiceTest.revocar_guarda_el_jti_con_el_ttl_restante / RedisBlacklistServiceTest.estaRevocado_true_si_existe_la_clave,docs/mediciones/sec/a09-logging.txt,Implementado,
RF-04,CRUD-ORM,Renovacion de sesion por refresh token,HU-04,CU-01,POST /api/auth/refresh,backend/src/main/java/org/uteq/backend/seguridad/auth/controller/AuthController.java,JwtServiceTest.refresh_token_valido,docs/postman/coleccion.json,Implementado,
RF-05,CRUD-ORM,Consulta de la sesion activa,HU-04,CU-01,GET /api/auth/me,backend/src/main/java/org/uteq/backend/seguridad/auth/controller/AuthController.java,JwtServiceTest.token_valido_con_iss_y_aud_correctos,docs/mediciones/sec/a01-acceso-roto.txt,Implementado,
RF-06,CRUD-ORM,Limitacion de intentos de autenticacion 5/15min,HU-02,CU-01,LoginAttemptService,backend/src/main/java/org/uteq/backend/seguridad/auth/security/LoginAttemptService.java,LoginAttemptServiceTest.bloqueada_al_alcanzar_el_limite / LoginAttemptServiceTest.fallo_subsiguiente_no_reinicia_ttl,docs/mediciones/sec/a07-rate-limit.txt,Implementado,
RF-07,CRUD-ORM,Verificacion de disponibilidad del servicio,HU-04,PENDIENTE-CU,GET /api/auth/ping,backend/src/main/java/org/uteq/backend/seguridad/auth/controller/AuthController.java,AuthControllerTest.pingRespondePong,docs/postman/coleccion.json,Implementado,
RF-08,CRUD-ORM,Listado paginado de estudiantes,HU-05,CU-04,GET /api/estudiantes,backend/src/main/java/org/uteq/backend/academico/student/controller/StudentController.java,StudentControllerTest.listar_devuelve_pagina / StudentServiceTest.listar_devuelve_pagina_envuelta,docs/mediciones/perf/REPORT.md,Implementado,
RF-09,CRUD-ORM,Consulta de estudiante por identificador,HU-05,CU-04,GET /api/estudiantes/{id},backend/src/main/java/org/uteq/backend/academico/student/controller/StudentController.java,StudentControllerTest.buscarPorId_existente / StudentControllerTest.buscarPorId_inexistente_da_404 / StudentServiceTest.buscarPorId_inexistente_lanza_404,docs/postman/coleccion.json,Implementado,
RF-10,CRUD-ORM,Registro de estudiante (persona+categoria+estado por FK),HU-06,CU-05,POST /api/estudiantes,backend/src/main/java/org/uteq/backend/academico/student/controller/StudentController.java,StudentControllerTest.crear_devuelve_201 / StudentServiceTest.crear_nuevo_estudiante_exito,docs/mediciones/jacoco/index.html,Implementado,
RF-11,CRUD-ORM,Validacion de categoria por clave foranea (ya no patron SUB-NN),HU-06,CU-05,EstudianteRequest.idCategoria,backend/src/main/java/org/uteq/backend/academico/student/dto/StudentRequest.java,StudentControllerTest.crear_con_datos_invalidos_da_422,docs/mediciones/sec/a03-inyeccion.txt,Implementado,
RF-11b,CRUD-ORM,Registro opcional de peso y altura del estudiante (con base legal documentada; lectura solo ADMINISTRADOR/ENTRENADOR),PENDIENTE-HU,PENDIENTE-CU,StudentRequest.peso/altura -> Student -> StudentResponse.withoutPhysicalData(),backend/src/main/java/org/uteq/backend/academico/student/dto/StudentResponse.java,StudentControllerTest.datos_fisicos_solo_para_administrador_y_entrenador,docs/etica/ETHICS.md (H-06) + SRS RF-11b,Implementado,"decision M7 (2026-09-08): se conservan con finalidad/base legal/conservacion documentadas; lectura de peso/altura restringida a ADMINISTRADOR/ENTRENADOR aplicada en StudentController (2026-09-08); pendiente: registrar el consentimiento de alcance fisico-deportivo (dato, no codigo)"
RF-12,CRUD-ORM,Actualizacion de estudiante,HU-07,CU-06,PUT /api/estudiantes/{id},backend/src/main/java/org/uteq/backend/academico/student/controller/StudentController.java,StudentControllerTest.editar_actualiza_estudiante,docs/postman/coleccion.json,Implementado,
RF-13,CRUD-ORM,Baja logica de estudiante,HU-08,CU-07,DELETE /api/estudiantes/{id},backend/src/main/java/org/uteq/backend/academico/student/controller/StudentController.java,StudentControllerTest.eliminar_devuelve_204 / StudentServiceTest.eliminar_hace_baja_logica,docs/postman/coleccion.json,Implementado,
RF-14,SP,Conteo de activos por categoria via procedimiento almacenado (INT no VARCHAR),HU-09,CU-08,GET /api/estudiantes/conteo/categoria/{idCategoria},backend/src/main/resources/db/migration/V6__convertir_a_procedimientos_almacenados.sql (academico.sp_contar_estudiantes_activos),StudentControllerTest.contarActivos_delega_en_service / StudentServiceTest.conteo_por_categoria_delega_en_repositorio,docs/basedatos/CATALOGO-SP.md,Implementado,
RF-15,SP,Desactivacion masiva por categoria via procedimiento almacenado (INT no VARCHAR),HU-10,CU-09,POST /api/estudiantes/operaciones/desactivar-categoria,backend/src/main/resources/db/migration/V6__convertir_a_procedimientos_almacenados.sql (academico.sp_desactivar_estudiantes_categoria),StudentControllerTest.desactivarCategoria_delega_en_service,docs/basedatos/CATALOGO-SP.md,Implementado,
RF-16,CRUD-ORM,Gestion de entrenadores (vinculados a persona y usuario),HU-10b,CU-10,GET-POST-PUT-DELETE /api/entrenadores,backend/src/main/java/org/uteq/backend/deportivo/entrenador/controller/EntrenadorController.java,EntrenadorServiceTest (6) / EntrenadorControllerTest (5),N/A,Implementado,
RF-17,CRUD-ORM,Horarios recurrentes de entrenamiento,HU-11,CU-11,POST/GET /api/horarios; DELETE /api/horarios/{id},backend/src/main/java/org/uteq/backend/deportivo/horario/,HorarioServiceTest;HorarioControllerTest,docs/diagramas/mer-profutbol.png,Implementado,
RF-18,CRUD-ORM,Sesiones de entrenamiento,HU-11,CU-12,POST /api/sesiones; GET /api/sesiones/hoy; /mias,backend/src/main/java/org/uteq/backend/deportivo/sesion/,SesionEntrenamientoControllerTest,docs/diagramas/mer-profutbol.png,Implementado,
RF-19a,SP/CRUD-ORM,Registro de asistencia por QR (marcada por el estudiante) o lista manual (entrenador),HU-12,CU-13,GET /api/asistencias/sesion/{id} + PUT /api/asistencias/sesion/{id} + POST /api/asistencias/qr/marcar,backend/src/main/java/org/uteq/backend/deportivo/asistencia/,PasarListaServiceTest (7 casos) / AsistenciaServiceTest / AsistenciaSesionControllerTest / AsistenciaQrControllerTest,QR y manual; docs/diagramas/mer-profutbol.png,Implementado,
RF-19b,N/A,Registro de asistencia por RFID (via adicional a RF-19a),HU-13,CU-14,endpoint RFID pendiente (sin controlador),backend/src/main/java/org/uteq/backend/deportivo/asistencia/,N/A,CHECK de metodo en esquema admite RFID; sin lector fisico,Planificado,"sin lector fisico disponible; activarlo no exigiria migracion, solo endpoint y hardware"
RF-20,CRUD-ORM,Evaluacion diaria por criterios,HU-13,CU-14,Sin API REST,backend/src/main/resources/db/migration/V4__evaluaciones.sql,Pendiente,docs/diagramas/mer-profutbol.png,Modelado,
RF-21,CRUD-ORM,Consulta de promedios de evaluacion,HU-13,CU-14,Vista v_promedio_evaluacion,backend/src/main/resources/db/migration/V4__evaluaciones.sql,Pendiente,docs/diagramas/mer-profutbol.png,Modelado,
RF-22,CRUD-ORM,Notificacion a representantes,HU-14,CU-15,GET /api/representante/notificaciones + POST .../notificaciones/{id}/leida (en-app; se crean desde AsistenciaService.marcarPorQr y LesionService.registrar),backend/src/main/java/org/uteq/backend/academico/guardian/,GuardianReportControllerTest.misNotificaciones_devuelve_200 / marcarLeida_ajena_devuelve_404,notificacion en-app (no correo/SMS/push); docs/etica/ETHICS.md hallazgo H-04 (resuelto 2026-08-03),Implementado,
RF-23,CRUD-ORM,Gestion del catalogo de categorias,PENDIENTE-HU,PENDIENTE-CU,GET-POST-PUT-DELETE /api/categorias,backend/src/main/java/org/uteq/backend/deportivo/categoria/controller/CategoriaController.java,CategoriaServiceTest (9) / CategoriaControllerTest (7),N/A,Implementado,
RF-24,CRUD-ORM,Gestion de cuentas de usuario como recurso propio (con rol opcional al crear),PENDIENTE-HU,PENDIENTE-CU,GET-POST-PUT-DELETE /api/usuarios,backend/src/main/java/org/uteq/backend/seguridad/user/controller/UserAccountController.java,UserAccountServiceTest (9) / UserAccountControllerTest (6),N/A,Implementado,
RF-25,CRUD-ORM,Gestion de personas,PENDIENTE-HU,PENDIENTE-CU,GET-POST-PUT-DELETE /api/personas,backend/src/main/java/org/uteq/backend/seguridad/person/controller/PersonController.java,PersonServiceTest (8) / PersonControllerTest (6),N/A,Implementado,
RF-26,CRUD-ORM,Consulta de estados generales,PENDIENTE-HU,PENDIENTE-CU,GET /api/estados_generales,backend/src/main/java/org/uteq/backend/seguridad/status/controller/GeneralStatusController.java,GeneralStatusServiceTest (2) / GeneralStatusControllerTest (1),N/A,Implementado,
RF-27,CRUD-ORM,Gestion del catalogo de articulos de inventario,PENDIENTE-HU,PENDIENTE-CU,GET-POST-PUT-DELETE /api/inventario/articulos,backend/src/main/java/org/uteq/backend/inventario/item/controller/ItemController.java,ItemServiceTest (11) / ItemControllerTest (8),N/A,Implementado,
RF-28,CRUD-ORM,Registro de movimientos de stock,PENDIENTE-HU,PENDIENTE-CU,GET-POST /api/inventario/movimientos,backend/src/main/java/org/uteq/backend/inventario/movement/controller/StockMovementController.java,StockMovementServiceTest (4) / StockMovementControllerTest (4),N/A,Implementado,
RF-29,CRUD-ORM,Asignacion y devolucion de articulos a estudiantes o entrenadores,PENDIENTE-HU,PENDIENTE-CU,GET-POST /api/inventario/asignaciones + PATCH .../{id}/devolver,backend/src/main/java/org/uteq/backend/inventario/assignment/controller/AssignmentController.java,AssignmentServiceTest (9) / AssignmentControllerTest (6),N/A,Implementado,
RF-30,SP,Reporte de articulos con stock bajo,PENDIENTE-HU,PENDIENTE-CU,GET /api/inventario/articulos/stock-bajo,backend/src/main/java/org/uteq/backend/inventario/item/repository/ItemRepository.java,ItemServiceTest.stockBajo_combina_listado_y_total_del_procedimiento,docs/basedatos/CATALOGO-SP.md sp_reporte_stock_bajo,Implementado,
RF-31,CRUD-ORM,Registro y alta de lesiones desde evaluacion diaria,HU-13,PENDIENTE-CU,POST /api/lesiones + POST .../{id}/alta,backend/src/main/java/org/uteq/backend/deportivo/lesion/controller/LesionController.java,LesionControllerTest (11) / LesionServiceTest (12),backend ya existia; se agrego el frontend y se corrigio idEntrenador resuelto del token en vez del body; N/A,Implementado,
RF-32,CRUD-ORM,Autoconsulta del estudiante sobre su equipo y desempeno,HU-05,PENDIENTE-CU,GET /api/estudiante/mi-equipo + GET /api/estudiante/mi-informe,backend/src/main/java/org/uteq/backend/academico/student/controller/MyTeamController.java,MyTeamServiceTest (6) / MyTeamControllerTest (4),N/A,Implementado,
RF-33,CRUD-ORM,Agenda de partidos con resultado posterior al juego,HU-11,PENDIENTE-CU,GET-POST-PUT-DELETE /api/partidos,backend/src/main/java/org/uteq/backend/deportivo/partido/controller/PartidoController.java,PartidoServiceTest (5),N/A,Implementado,
RF-34,CRUD-ORM,Convocatoria y once del partido segun rendimiento de las ultimas semanas,HU-11,PENDIENTE-CU,GET-PUT-DELETE /api/partidos/{id}/alineacion,backend/src/main/java/org/uteq/backend/deportivo/partido/service/ConvocatoriaService.java,ConvocatoriaServiceTest (8) / AlineacionServiceTest (7),N/A,Implementado,
RF-35,CRUD-ORM,Historial de asistencia de una sesion de entrenamiento,HU-12,PENDIENTE-CU,GET /api/sesiones/{id}/historial,backend/src/main/java/org/uteq/backend/deportivo/sesion/service/SesionEntrenamientoService.java,SesionEntrenamientoServiceTest,N/A,Implementado,
RF-37,CRUD-ORM,Restablecimiento de contrasena por enlace de un solo uso,HU-15,CU-16,POST /api/auth/forgot + POST /api/auth/reset,backend/src/main/java/org/uteq/backend/seguridad/auth/service/PasswordResetService.java,PasswordResetServiceTest (9) / PasswordResetTokenStoreTest (7) / SessionEpochServiceTest (5) / ResetRequestLimitServiceTest (4) / AuthControllerTest,docs/postman/coleccion.json,Implementado,
RF-38,CRUD-ORM,"Gestion de pagos: membresia, pago diario, anulacion y consulta de ingresos",HU-16,PENDIENTE-CU,POST /api/pagos/membresia + /diario + /{id}/anular + GET /estudiante/{id} + /ingresos-mes + /ingresos-historico,backend/src/main/java/org/uteq/backend/academico/payment/controller/PaymentController.java,PaymentServiceTest / PaymentControllerTest,V20__anulacion_de_pagos.sql,Implementado,
RF-39,CRUD-ORM,Registro y revocacion del consentimiento del representante,PENDIENTE-HU,PENDIENTE-CU,POST /api/consentimientos + /{id}/revocar + GET /estudiante/{id},backend/src/main/java/org/uteq/backend/academico/guardian/controller/ConsentController.java,ConsentServiceTest / ConsentControllerTest,docs/etica/ETHICS.md (H-04),Implementado,
RF-40,CRUD-ORM,Informes y notificaciones al representante,PENDIENTE-HU,PENDIENTE-CU,GET /api/representante/estudiantes + /informe + POST /comentario + GET /notificaciones + POST /leida,backend/src/main/java/org/uteq/backend/academico/guardian/controller/GuardianReportController.java,GuardianReportControllerTest / NotificationServiceTest / StudentReportServiceTest,N/A,Implementado,
RF-41,CRUD-ORM,Gestion de representantes como recurso y vinculo con estudiantes,PENDIENTE-HU,PENDIENTE-CU,CRUD /api/representantes (9 rutas) + vincular/desvincular estudiante,backend/src/main/java/org/uteq/backend/academico/guardian/controller/GuardianController.java,GuardianServiceTest / GuardianControllerTest,N/A,Implementado,
